	miRNA	log(FC)	Expression
278	miR-505-5p	-0.047816	Down
79	miR-146a-5p	-0.048252	Down
431	miR-935	-0.05047	Down
163	miR-20b-3p	-0.050494	Down
433	miR-937-3p	-0.050608	Down
89	miR-149-3p	-0.051952	Down
201	miR-379-3p	-0.052364	Down
62	miR-138-1-3p	-0.053209	Down
409	miR-888-3p	-0.05332	Down
324	miR-532-5p	-0.054029	Down
427	miR-93-5p	-0.054224	Down
180	miR-369-3p	-0.054674	Down
52	miR-133b	-0.055392	Down
125	miR-193a-3p	-0.055749	Down
345	miR-589-3p	-0.056755	Down
330	miR-543	-0.057067	Down
327	miR-541-5p	-0.057799	Down
391	miR-769-3p	-0.05822	Down
254	miR-490-3p	-0.058244	Down
47	miR-1321	-0.059127	Down
262	miR-495-3p	-0.06011	Down
155	miR-204-5p	-0.061916	Down
11	miR-106b-5p	-0.061948	Down
294	miR-514a-3p	-0.062049	Down
226	miR-432-3p	-0.062383	Down
117	miR-18b-3p	-0.063738	Down
265	miR-497-3p	-0.06444	Down
304	miR-520b	-0.064676	Down
38	miR-1306-3p	-0.064738	Down
169	miR-214-3p	-0.065234	Down
416	miR-9-5p	-0.066229	Down
190	miR-374b-3p	-0.069059	Down
280	miR-507	-0.069376	Down
264	miR-497-5p	-0.070291	Down
32	miR-1299	-0.07152	Down
148	miR-200b-3p	-0.071552	Down
70	miR-142-3p	-0.07182	Down
209	miR-409-5p	-0.071964	Down
303	miR-520a-5p	-0.071991	Down
84	miR-147b	-0.07289	Down
270	miR-500a-3p	-0.073188	Down
207	miR-384	-0.073389	Down
126	miR-193a-5p	-0.075829	Down
438	miR-942-5p	-0.076889	Down
120	miR-190b	-0.077688	Down
269	miR-500a-3p. miR-500a-5p	-0.077904	Down
256	miR-491-3p	-0.078514	Down
240	miR-455-3p	-0.080494	Down
291	miR-513a-5p	-0.080685	Down
109	miR-17-3p	-0.080686	Down
113	miR-181b-5p	-0.081174	Down
400	miR-876-5p	-0.082402	Down
446	miR-99a-3p	-0.083639	Down
0	let-7a-5p	-0.083769	Down
230	miR-449b-5p	-0.085544	Down
170	miR-214-5p	-0.085675	Down
283	miR-509-3-5p	-0.090473	Down
202	miR-380-3p	-0.090512	Down
404	miR-885-5p	-0.091443	Down
342	miR-587	-0.093401	Down
90	miR-150-5p	-0.094267	Down
365	miR-609	-0.094915	Down
224	miR-431-3p	-0.095367	Down
