	mRNA	log(FC)	Expression
1140	PYCARD-AS1	1.6343492	Up
2514	FOXM1	1.6290102	Up
2985	DUXAP10	1.6278325	Up
2905	CCNE2	1.6272265	Up
1489	ATOX1	1.6233967	Up
1888	CAPSL	1.6213422	Up
388	HTRA3	1.6206331	Up
1377	EZH2	1.6193712	Up
425	LOC101928710	1.6185605	Up
2909	FSIP1	1.6179965	Up
2478		1.6176385	Up
164	ITIH3	1.6171927	Up
1827		1.6129827	Up
226	MMP2	1.6119383	Up
1789	TBCE	1.6112123	Up
519	EYA4	1.6098616	Up
3207	MIR7112///BOP1	1.6084605	Up
2572	TAGAP	1.608121	Up
2420	LOC100288637///ARHGAP11B	1.6081129	Up
888	GDF11	1.6067617	Up
1652	TBL1X	1.6052761	Up
1063	DKFZp564H213	1.6046631	Up
3345	COL5A1	1.6039634	Up
2025	USP18	1.6017142	Up
2236	P2RY10	1.6002594	Up
2075	CST1	1.6000772	Up
205	AZIN2	1.5990209	Up
2305	TFR2	1.5979794	Up
203	FCGR2C	1.5951036	Up
614	ZNF780B	1.5949977	Up
1297	FAM45A	1.5940356	Up
2593	HAUS8	1.591711	Up
1898	CDKL1	1.5871214	Up
703	IL32	1.5865428	Up
2244	PRDM6	1.5858353	Up
652	KLRD1	1.5855256	Up
567		1.5841679	Up
2894		1.5796814	Up
1097	GXYLT2	1.5766821	Up
3468	PTTG3P	1.5762262	Up
1311	LDLRAD4	1.5746402	Up
1698	ALG10	1.5736943	Up
208	CST4	1.5727094	Up
1414	SKA2	1.5726021	Up
130	MDGA1	1.5723137	Up
274	OAS3	1.5716002	Up
430		1.5695784	Up
1622	CGREF1	1.5693691	Up
1490	WDR12	1.5684848	Up
3129	ARFGEF2	1.5675003	Up
1416	RPL7	1.5672103	Up
966	AP4B1	1.5666426	Up
89	SPARC	1.5660438	Up
1035		1.5659324	Up
1708	DEUP1	1.5647692	Up
3002	HEATR1	1.5631627	Up
1292	HSPB11	1.5623316	Up
1113	NXPE3	1.5613757	Up
172		1.5593318	Up
1054	BUB1B	1.5592281	Up
699	LIMS4///LIMS1	1.5590662	Up
366	KIAA1644	1.5579132	Up
414	LOC105372550	1.5573295	Up
1551	DHX58	1.5543951	Up
1312	NCAPG	1.5543269	Up
1272	ADAMTS12	1.5517228	Up
3344	BIK	1.5507184	Up
1561	LAMB1	1.5501579	Up
438	POSTN	1.549219	Up
3107	SAMSN1	1.548998	Up
1497	HOXB7	1.5486522	Up
625	TNFAIP6	1.5474262	Up
3064	ARL5B	1.544403	Up
1585	OBFC1	1.5415249	Up
477	LOC101928152	1.5410731	Up
1019	RASSF2	1.5403062	Up
1643	BBIP1	1.5400764	Up
2820	ERAP2	1.5393816	Up
2319	CUL4B	1.5375962	Up
3326	CDH6	1.537247	Up
1188	SPICE1	1.5370372	Up
2506	GPR137C	1.5348577	Up
2494		1.5335602	Up
1381	RAB31	1.531467	Up
655		1.5279796	Up
2096	BGN	1.5275328	Up
1838	FAM220A	1.5262013	Up
2825		1.52498	Up
2871	TMF1	1.5229033	Up
538	E2F1	1.5184302	Up
1906	PRR5L	1.5180625	Up
2484	XXYLT1	1.5153287	Up
2151	MYO9B	1.5127905	Up
1066	POLE2	1.5122152	Up
773	CENPU	1.5115788	Up
2882	COL12A1	1.5115336	Up
2622	NUP62	1.5103073	Up
1701	PTCD2	1.5095187	Up
1989	TBC1D8B	1.5088217	Up
1624	MTSS1	1.5084158	Up
2007	RAD51	1.5037195	Up
2409	MKI67	1.5033396	Up
666	SLC22A15	1.5030802	Up
1455	GREM1	1.5024081	Up
673	CFB	1.5009736	Up
1718		1.5002547	Up
1284	HHEX	1.499582	Up
2346	SPP1	1.4980456	Up
560	MICAL2	1.4967456	Up
2978	RSF1	1.4962951	Up
1029		1.4962094	Up
736	UGCG	1.4932866	Up
2421		1.4931979	Up
350	LOC101928195///LOC100996643///MTHFD1L	1.4925015	Up
2606	SOS2	1.4911059	Up
1149	TRAC	1.4886931	Up
464	SULF2	1.4882089	Up
1533	GPR37	1.4867973	Up
3314	MISP	1.4865388	Up
1156	TYMS	1.4852266	Up
1424	RGS1	1.4840127	Up
3496	ZSCAN9	1.4832856	Up
1278		1.4830967	Up
2575	CDT1	1.4829291	Up
2074	DNAJC25-GNG10///DNAJC25	1.480179	Up
1417	LINC00487	1.4796453	Up
551		1.4775339	Up
426	RC3H1	1.4763291	Up
2707	MIAT	1.4747301	Up
1582	CCNE1	1.4740601	Up
402	MSR1	1.4738049	Up
2543	UBE2V2	1.4736002	Up
449	MMP11	1.4732874	Up
1060	DLG1	1.4731383	Up
1506		1.4707233	Up
745	HIST1H3D///HIST1H2AD	1.4702461	Up
2182	TSPAN18	1.4687253	Up
2083	RWDD2A	1.4650924	Up
1438	TENM3	1.4618199	Up
1751	ADAM32	1.4613048	Up
2932		1.4601224	Up
3096	SH2D1A	1.4591053	Up
3066	XYLT1	1.4574109	Up
3209	RNF123	1.4572649	Up
1354		1.4571724	Up
1055	CILP	1.4552464	Up
2781	LOC645513	1.4545982	Up
1002		1.4542378	Up
2681	IKZF1	1.4522944	Up
2903		1.4521928	Up
1136	DPEP1	1.4519881	Up
2039	CUL4B	1.4512268	Up
2979	PPAT	1.4508447	Up
282	THY1	1.4499603	Up
1495	IGFBP7	1.4499327	Up
