	mRNA	log(FC)	Expression
3464		-0.6985109	Down
2917	CHD9	-0.7009372	Down
1515	PKHD1	-0.7012871	Down
2351	SPATA4	-0.7018367	Down
2873	SMAD4	-0.7024789	Down
1259		-0.7026145	Down
1550	SUGP2	-0.7059669	Down
3196	CFLAR	-0.7069665	Down
1382	VPS35	-0.708256	Down
3039	LOC101929717	-0.7117041	Down
2714	CSNK2A2	-0.7118602	Down
2673	KIAA0319L	-0.7122919	Down
3472	TRIM66	-0.7123714	Down
1931	SLC43A2	-0.713192	Down
2415	LINC01343	-0.7145242	Down
2023	EIF3L	-0.7172364	Down
2766	LOC728445	-0.7182652	Down
3350	ZHX3	-0.7185756	Down
3268	LINC00689	-0.7189981	Down
3112	LOC646588	-0.7223425	Down
2502	TGFB2	-0.7230929	Down
1590	LOC286161	-0.7255882	Down
3389	UNC13C	-0.7264267	Down
3037	ANO8	-0.7286788	Down
3403	ALPL	-0.7311598	Down
1688	EZH1	-0.7312603	Down
1536	TRIP6	-0.7314095	Down
709	TAGLN	-0.7319807	Down
3179	ERN2	-0.7335436	Down
2243		-0.7354897	Down
922	NCOA1	-0.7368407	Down
1645	LOC101929683	-0.73835	Down
1532	SLC26A7	-0.7393593	Down
2970		-0.7410929	Down
1794	ITGA3	-0.7414105	Down
2851	SRCAP	-0.7414885	Down
1707	AUTS2	-0.7420752	Down
1037	HOXD10	-0.7425981	Down
2637	GPR150	-0.7426061	Down
821	FBXO44	-0.7437414	Down
2812	REM2	-0.7441404	Down
1213	ZBTB47	-0.7446056	Down
2747	COL27A1	-0.7448657	Down
3448	CFLAR	-0.7460415	Down
862	CTSF	-0.747132	Down
1929	HYI	-0.7471842	Down
1634	SLC38A2	-0.748518	Down
3113	LOC440792	-0.7500173	Down
2960	BCL7B	-0.7529948	Down
2643		-0.7569292	Down
2954		-0.7582184	Down
2281	NAA40	-0.7605748	Down
1322	KHK	-0.7613045	Down
523	SEC14L4	-0.7630779	Down
2438	BRCA2	-0.7647012	Down
972	GSTP1	-0.7651243	Down
2325	SYN1	-0.7684858	Down
1400	RFX1	-0.7686098	Down
2831	BCL2L2	-0.7687801	Down
2997	RPL37A	-0.7690129	Down
2376	TRH	-0.770241	Down
479	ID4	-0.7705305	Down
1991	SLC43A3	-0.7722095	Down
1527	ZNF185	-0.7753055	Down
2336	CDK2AP2	-0.7758355	Down
3026	ARPC4-TTLL3///TTLL3///ARPC4	-0.7761545	Down
1792	TCTE3	-0.7768436	Down
3033	TCEANC	-0.7769674	Down
2169	ZBTB20	-0.7781417	Down
2705	ANKRD65	-0.7790118	Down
3444		-0.7809832	Down
3054	BTG1	-0.782526	Down
2933	TVP23C-CDRT4///CDRT4///TVP23C	-0.7846697	Down
3221	ARID5A	-0.785539	Down
2206	EPHB4	-0.7865577	Down
1244	MT1G	-0.7883565	Down
865	PQLC1	-0.7885578	Down
1258		-0.792399	Down
1780	SLAMF9	-0.7925638	Down
2968	NLN	-0.7929546	Down
1593	ARHGEF28	-0.7946942	Down
3299	NADSYN1	-0.7977124	Down
2265	FDFT1	-0.7982664	Down
814	ERICH1	-0.7987466	Down
1620	CIRBP	-0.7989666	Down
1808	MIR6513///TMBIM1	-0.799371	Down
3343	GPATCH3	-0.7994493	Down
1411	ZBTB20	-0.7997009	Down
2852	ATXN1L	-0.8002761	Down
3425	LOC643659	-0.8009724	Down
3482	CYP1B1-AS1	-0.8010505	Down
3280	TSNAXIP1	-0.8016385	Down
1651	LOXL2	-0.8022349	Down
2088	ADAT3	-0.8025342	Down
3200		-0.8035535	Down
3338	LOC101929450	-0.8039192	Down
2295	BAZ2B	-0.8050454	Down
3187	PRPF8	-0.8052431	Down
967	LINC00593	-0.8052471	Down
1431	DPYSL2	-0.8081657	Down
1980	LOXL4	-0.8097364	Down
2650	ZNF317	-0.8106092	Down
3004	FGD5-AS1	-0.8133835	Down
3176		-0.8135618	Down
2065	FLII	-0.8135934	Down
389	GRB10	-0.813719	Down
2568	SEC22C	-0.8142618	Down
1677	HYI	-0.8163018	Down
2836	BTG3	-0.817585	Down
2986	FRZB	-0.819307	Down
3050		-0.8196823	Down
2503		-0.8206661	Down
2583	ZNF436-AS1	-0.8216628	Down
3288	MAFF	-0.8219034	Down
3109		-0.8223226	Down
765		-0.8224059	Down
2621	GNA12	-0.8229293	Down
2776	TMED8	-0.825603	Down
249	SFN	-0.8260699	Down
3467		-0.8281706	Down
1573	VPS37C	-0.8289199	Down
2995	GDF15	-0.829367	Down
1291	SMARCC2	-0.8303975	Down
2750	TBATA	-0.8306658	Down
2727		-0.8311195	Down
3162	RNF207	-0.832144	Down
3248	CYR61	-0.8332616	Down
1763	PARP3	-0.8338788	Down
2596	GFI1B	-0.8359499	Down
996		-0.8363915	Down
1365	ASXL2	-0.8365931	Down
2558	PI3	-0.836998	Down
3133	TBC1D14	-0.837493	Down
3165	CLDN2	-0.8380187	Down
1162	TAGLN	-0.8392552	Down
3481	CADM2	-0.8394234	Down
2633		-0.8424054	Down
2352	LPCAT3	-0.842976	Down
353	CLU	-0.8430038	Down
1829	NINL	-0.8453618	Down
2006	DMRT1	-0.84553	Down
3087	ELMOD3	-0.8458386	Down
3407	ZNF777	-0.8473402	Down
3046		-0.8477077	Down
2775	COL28A1	-0.8481282	Down
2451	ABI3BP	-0.8491473	Down
2809	PLA2R1	-0.8503008	Down
3477	ARRDC4	-0.8503718	Down
1577	CDH2	-0.8515637	Down
2821	EGLN1	-0.8519475	Down
1655	LOC101927159	-0.8534966	Down
2740	RTN4RL1	-0.8544307	Down
1562	GPM6B	-0.8547677	Down
2272		-0.8560661	Down
2738	IP6K2	-0.8568175	Down
2736	OTX2	-0.8574867	Down
2324	CDC42EP4	-0.8599031	Down
2069	PTGS1	-0.8603701	Down
3337	HACD4	-0.861244	Down
1656	TSPAN14	-0.8620725	Down
2263	LPP	-0.8625245	Down
2270	IFT27	-0.8626	Down
2208	STAG3L2///STAG3L3///STAG3L1	-0.8633354	Down
3101	CELSR2	-0.8650106	Down
2988	ZSWIM8///SAT1	-0.8660334	Down
915	ECHDC2	-0.8661254	Down
2566		-0.8661549	Down
1180	CD59	-0.8667005	Down
1402	PRPSAP1	-0.8674343	Down
3356	FAM228B	-0.8680371	Down
754	NUDT3	-0.868488	Down
1105	CROT	-0.8689044	Down
1384	SP1	-0.8690179	Down
3316	TRMT10B	-0.8690944	Down
1309	VPS37C	-0.8697429	Down
3480		-0.8699715	Down
3237	EGR1	-0.8703361	Down
2982	STOM	-0.8704805	Down
1771	MYO9A	-0.8705661	Down
933	PADI2	-0.8714598	Down
3238	TREML3P	-0.8730224	Down
2307	KMT5B	-0.8752936	Down
3454	HDHD3	-0.875671	Down
2765		-0.8779096	Down
3245		-0.8790386	Down
1772	TLX2	-0.879853	Down
3351	MAPK7	-0.879968	Down
2847	NFIX	-0.8800588	Down
970	CELF1	-0.8809937	Down
2372		-0.8819333	Down
2198	TCF7L1	-0.8822443	Down
1868		-0.8828452	Down
978	TSC22D1	-0.8830682	Down
2914	FBXO42	-0.883207	Down
2068	MBTPS1	-0.883367	Down
3301	ZNF560	-0.8833947	Down
1604	PLA2G4B///JMJD7-PLA2G4B	-0.8843667	Down
3346	EXTL3-AS1	-0.8844806	Down
2293	ROCK1	-0.8847442	Down
184	WASF2	-0.8855929	Down
2565	LRGUK	-0.8856888	Down
2204	SMG6	-0.8859698	Down
3068	FUT9	-0.8861542	Down
3020	STEAP3	-0.8866131	Down
3417	PVRL3-AS1	-0.887563	Down
3352		-0.8885939	Down
2965	RIMS3	-0.8894036	Down
1253	OR7A10	-0.8896877	Down
1235	NPC1L1	-0.8898791	Down
1370	PINK1	-0.8918365	Down
973	SRRT	-0.8925324	Down
2751		-0.8930102	Down
2016	TRIM45	-0.8932128	Down
1716		-0.8932575	Down
1334	LINC01138	-0.8938051	Down
2538	PYGB	-0.8962828	Down
2624	ADGRA3	-0.8972389	Down
3063	HOXB-AS3	-0.8972439	Down
3410	LOC101928818///PWRN1	-0.8975185	Down
2156	MAP2K1	-0.8980898	Down
2877	ZBTB20	-0.8986106	Down
3313	LINC00347	-0.8997524	Down
591	FDFT1	-0.9002153	Down
1877	ESPNP///ESPN	-0.9007167	Down
2107	FGD4	-0.9007509	Down
2089	AIM1	-0.9025547	Down
1432		-0.9060999	Down
3061	TMEM102	-0.906566	Down
1956	CMTM6	-0.9066031	Down
1951	CLCNKB///CLCNKA	-0.9070692	Down
2998		-0.9078848	Down
912	TMEM259	-0.9086893	Down
2162		-0.9087314	Down
3451	KCTD7///RABGEF1	-0.9093328	Down
499	TEX264	-0.9103502	Down
1088	C21orf59	-0.9113696	Down
1408	HS3ST1	-0.9120918	Down
3328		-0.9124133	Down
2186	C10orf71	-0.9140851	Down
2143	LAMC3	-0.9141281	Down
3456	SSTR5	-0.9158516	Down
1283	STYK1	-0.9166894	Down
2963	AMIGO2	-0.9172237	Down
1864	DLG5	-0.9174215	Down
693	AUH	-0.9183319	Down
1172	CRIPT	-0.9186823	Down
1629	MCCC1	-0.9188907	Down
2666	NOVA2	-0.9190209	Down
1859	MPHOSPH6	-0.920022	Down
3391	THAP11	-0.9222023	Down
1450	NTN5	-0.9223457	Down
434	ACTN1	-0.9228838	Down
1467	VDAC1	-0.9236193	Down
1972	ASCL2	-0.9256764	Down
2381	C17orf74	-0.9274975	Down
1611	FBXO21	-0.9285719	Down
1398		-0.929292	Down
1352	EGR1	-0.9295362	Down
1858	STAT5B	-0.9315264	Down
1454	SYN2	-0.932311	Down
2787	SGK2	-0.9324537	Down
2239		-0.9334726	Down
3452	POLR2F	-0.934404	Down
1214		-0.9347986	Down
3256		-0.9351655	Down
2680	UBXN2A	-0.9352034	Down
2113	LINC01620	-0.9353166	Down
3163	FLJ37453	-0.9360483	Down
3059	AGA	-0.9362037	Down
2314	TMEM132B	-0.9365696	Down
1576	JUN	-0.9384203	Down
1266	RILPL2	-0.9384847	Down
2796	TP53TG5	-0.9390633	Down
2605	MIR3671///MIR101-1	-0.9390964	Down
296	NTRK3	-0.9391431	Down
2890	GNL1	-0.9400948	Down
170	SFN	-0.9410331	Down
3234	LOC101929500///CRIM1	-0.9411248	Down
1894	LCN15	-0.941663	Down
2378	EHD3	-0.9430566	Down
2235		-0.9430921	Down
2316	LOC101928269///LOC100506403///RUNX1	-0.9431813	Down
1610	TAS2R7	-0.9433102	Down
2874	TRNP1	-0.9435054	Down
2913	IL11	-0.9437164	Down
3278	HOXD9	-0.9447885	Down
3058	ZNF514	-0.9460614	Down
2120	EQTN	-0.9461213	Down
3436		-0.9464557	Down
3411	TMEM54	-0.9472122	Down
2460	RNF217	-0.950878	Down
2402	COMMD10	-0.9511444	Down
1371	LRRC74A	-0.9520476	Down
952	CPLX1	-0.9523208	Down
1347	OBSL1	-0.9533324	Down
2817	LOC101927124	-0.9549221	Down
2718	TES	-0.9549403	Down
3325	RPA1	-0.9552387	Down
2466	SH3BP4	-0.9554632	Down
735	RBPMS	-0.9556658	Down
986		-0.9559946	Down
3285	CYP17A1	-0.9567333	Down
2190	ERCC6L2	-0.957357	Down
393	MPZL2	-0.9574424	Down
3166	RAB27A	-0.9596578	Down
613		-0.962534	Down
3148	RFX4	-0.9627581	Down
3495	TTC9B	-0.9629312	Down
2157	CENPBD1	-0.9637913	Down
284	UNC119B	-0.9639668	Down
2437	IGFBP6	-0.9649109	Down
3136	NR4A1	-0.9649395	Down
1099	CMTM7	-0.9650757	Down
2564	PPP6C	-0.9654111	Down
3457	LOC105374676	-0.9657299	Down
1900	CRNDE	-0.966398	Down
2164	TMEM129	-0.9677386	Down
1241	AMT	-0.9678222	Down
1988	C16orf92	-0.9678276	Down
2649	CXCL2	-0.9679692	Down
2459	EPN2-IT1///EPN2	-0.9680292	Down
2446	APH1B	-0.9682285	Down
3433	NSG1	-0.9688445	Down
1594		-0.9690195	Down
1276	ZNF207	-0.9704395	Down
2628	ZC3H7B	-0.9725545	Down
2569	MIR6875///TRIP6	-0.9730904	Down
2733		-0.9733662	Down
3213	DCBLD2	-0.9745731	Down
3219	DHX34	-0.9754069	Down
1335	MAPK8IP3	-0.9765492	Down
3227		-0.9774933	Down
3359	ATL3	-0.9790618	Down
1755	DUSP1	-0.9797108	Down
2522	TP63	-0.979791	Down
1349	ATL1	-0.9801622	Down
1161		-0.9814415	Down
1444	FNBP4	-0.9817123	Down
333	CRAMP1	-0.9821793	Down
2737	FAM46B	-0.9827752	Down
1200	TP53BP1	-0.9846625	Down
1932	GABARAPL3///GABARAPL1	-0.9848673	Down
2140		-0.9852191	Down
2857	BTBD17	-0.9857152	Down
311	CLU	-0.986521	Down
2916	LINC00685	-0.9869324	Down
771		-0.9870296	Down
2530	HDAC5	-0.9882891	Down
2507		-0.9891779	Down
3357	TMEM75	-0.9893418	Down
1265		-0.9898007	Down
1648	HYI	-0.9901596	Down
2228		-0.9902079	Down
2468	SERP2	-0.9902624	Down
3432	MTHFSD	-0.9906829	Down
1968		-0.9929521	Down
2879	TEAD2	-0.9931954	Down
3229	LINC01449	-0.9939637	Down
1198	LOC283713///OTUD7A	-0.9947018	Down
3279	ALOX12B	-0.9953594	Down
2267		-0.9955476	Down
1154	MBTPS1	-0.9959884	Down
857	CIAO1	-0.9980401	Down
2862	PRDM15	-0.9981785	Down
584	C19orf81	-0.9984553	Down
811	FAM160A2	-0.9989082	Down
2595	LOC284023	-0.9990516	Down
3088	WIPI1	-0.9990869	Down
391	BBS1	-1.0008964	Down
3144	CRNN	-1.0010654	Down
1867	PCDHB9	-1.0019832	Down
3459	PRKAR2A	-1.0024013	Down
2936	MXRA7	-1.0027608	Down
1628	ZNF274	-1.0032089	Down
189	ARHGEF28	-1.0034143	Down
1671	TXNIP	-1.0042091	Down
1840	LINC00951	-1.0048889	Down
1712	C12orf74	-1.0055626	Down
1367	NSG1	-1.0061085	Down
2604	PAPPA	-1.0071301	Down
2443	LINC01020	-1.0076057	Down
1163	SLC25A25-AS1	-1.0106377	Down
1116	CHD9	-1.0110018	Down
2011	FLNB	-1.0110331	Down
422		-1.0113355	Down
1666	TMEM220	-1.0118812	Down
2712	SP1	-1.0120408	Down
2233	OR10D3	-1.0144681	Down
2498		-1.0146728	Down
2855	PADI2	-1.0154281	Down
1281	CGB1///CGB8///CGB7///CGB5///CGB3	-1.0154428	Down
2516	ZNF568	-1.0160633	Down
1724	ARSD	-1.0163431	Down
1338	SP4	-1.017271	Down
589	ACCS	-1.0173228	Down
691	INS	-1.0175081	Down
1407		-1.0182865	Down
1036	ARHGEF37	-1.0183326	Down
2108	RGS12	-1.0192222	Down
3203	KRT7	-1.0195509	Down
1041		-1.0208346	Down
2041	CHIC2	-1.0208853	Down
1315		-1.0210673	Down
1353	GNL1	-1.0211476	Down
1893	PAFAH1B2	-1.0214813	Down
1504	MAGI1	-1.0239731	Down
1640	CAT	-1.0253787	Down
2797	TNNC2	-1.0266373	Down
2974		-1.0284446	Down
509	TOLLIP	-1.0301862	Down
3272	STON2	-1.030743	Down
2611	BCL11A	-1.0307521	Down
1704	MAPT-AS1	-1.030806	Down
2746	LOC101928973	-1.0308626	Down
798	BOC	-1.0313952	Down
1861	PAX1	-1.0331404	Down
3014		-1.0340775	Down
2861	WFDC2	-1.0344133	Down
1160	LRP5	-1.0353144	Down
1721	NR6A1	-1.0358398	Down
2002	LINC00470	-1.036164	Down
2277	SPATA19	-1.0361876	Down
3317	NPHP3	-1.0362314	Down
2744	SATB1	-1.0363151	Down
2051	OSTM1-AS1	-1.037109	Down
2762	DSERG1	-1.0386613	Down
2476	LOC338667	-1.0395173	Down
409	CSRP1	-1.0397591	Down
1787	PLG	-1.0398978	Down
1249	KLK6	-1.0399646	Down
3400	LINC00397	-1.0403052	Down
2640	OR7E47P	-1.0404713	Down
595	GOLGA8A	-1.0415883	Down
2097		-1.0417928	Down
2778	EFS	-1.0424855	Down
856	SCARF2	-1.0426227	Down
731	ENKD1	-1.0433245	Down
742	MYL9	-1.0434545	Down
1623		-1.0436012	Down
467	CWF19L2	-1.0436066	Down
2301	PIK3R1	-1.0440829	Down
975	KRT6B	-1.044095	Down
2383	BOK	-1.0451998	Down
2367	OBSL1	-1.045423	Down
637	SLC16A5	-1.0459925	Down
1560	LINC00955	-1.0460298	Down
1873		-1.0464979	Down
1015	UNC5C	-1.0473394	Down
2163	ZNF747	-1.0477775	Down
193	LINC01554	-1.0487132	Down
2788	CBX7	-1.0500784	Down
2957	CUL1	-1.0509515	Down
774	CHPT1	-1.0520214	Down
1396	RTN2	-1.0535363	Down
2679		-1.0535481	Down
1184	ADHFE1	-1.0535539	Down
1410	SNORA70///RPL10	-1.0536071	Down
517	ZFP41	-1.053798	Down
1491	ANKRD37	-1.0547858	Down
2901	GALR3	-1.0550968	Down
3053	LOC286154	-1.0553852	Down
897		-1.0564559	Down
2943		-1.0566123	Down
1064	IRX3	-1.057579	Down
698	SIK3	-1.0581973	Down
1941	LOC644172///MAPK8IP1	-1.0590196	Down
3368	MDH1B	-1.0590226	Down
1337	AFF4	-1.0590901	Down
2141		-1.0592663	Down
2866	IRS1	-1.0592901	Down
2339		-1.0596058	Down
107	FOXC1	-1.0596878	Down
2455	CCDC40	-1.0611946	Down
2524	TRIO	-1.0619549	Down
3040	SPATA6L	-1.0619791	Down
2425	DRP2	-1.0620421	Down
1553	LOC101927133	-1.0627067	Down
982	METTL7A	-1.0630312	Down
2656	TIAL1	-1.0643779	Down
2971	KREMEN1	-1.0645055	Down
1863	TGFBR3	-1.0646332	Down
929	PPM1K	-1.0646942	Down
1919	GOLGA7B	-1.0648646	Down
2469	RNF114	-1.0660893	Down
985	SIRT5	-1.0668286	Down
3437	SYN2	-1.0683496	Down
2020	ANKRD35	-1.068533	Down
2547	LOC101927256	-1.0693416	Down
2551	C16orf71	-1.069632	Down
2436	PLXNB2	-1.0717453	Down
949	NDUFA5	-1.0721513	Down
3274	F11	-1.0721752	Down
3212		-1.0726838	Down
1681	FAT1	-1.0727156	Down
891	FTO	-1.0731319	Down
2320	EIF1	-1.0733447	Down
2864	SEMA6A	-1.0752834	Down
1153	YAP1	-1.0755886	Down
1102	GUCY1A3	-1.0764459	Down
2561	EPM2A	-1.0766155	Down
3396	TSPAN6	-1.077064	Down
1632	THYN1	-1.0779277	Down
2003	CFAP20	-1.0782759	Down
3230	WDR59	-1.0783844	Down
2341	DNAJC18	-1.0790658	Down
983	SLC16A5	-1.0797877	Down
412	COL7A1	-1.0810235	Down
1059	TRIM74///TRIM73	-1.0812927	Down
3215	OSGIN1	-1.0814925	Down
1330	CKMT2-AS1	-1.0846063	Down
3470		-1.0855134	Down
2485	C2orf57	-1.0868718	Down
1135	MIR6883///PER1	-1.0872095	Down
1793	CYP4A22///CYP4A11	-1.0880793	Down
2380	PDE1A	-1.0891852	Down
3424		-1.0892004	Down
2447	ERCC1	-1.0895305	Down
395	LOC100506990	-1.0897234	Down
657	AREL1	-1.0897827	Down
2989	ZCCHC2	-1.0901435	Down
2112	LOC101805491///TMEM247	-1.0901974	Down
1247		-1.0918526	Down
1191	CNTNAP4	-1.0919535	Down
1435	VPS53	-1.0921449	Down
1627	FOLR1	-1.0926538	Down
1668	KMT2D	-1.0933119	Down
2887	NT5C1B-RDH14///NT5C1B	-1.0934389	Down
3199	SPCS3	-1.0936288	Down
1296	CELSR2	-1.0945491	Down
3479	NUB1	-1.0949485	Down
820	RARG	-1.0954143	Down
2950	SLMAP	-1.0969605	Down
3303	SLC6A2	-1.0980238	Down
2571		-1.0982836	Down
880	LOC100293211///IGHG1	-1.0984024	Down
2576	EGR1	-1.0990521	Down
2745	SLC39A8	-1.0994167	Down
1738		-1.0999329	Down
1314	KCNC4	-1.0999847	Down
2027	NMNAT1	-1.1002891	Down
2480	YAP1	-1.1007491	Down
740	LOC100293211	-1.1023416	Down
3160		-1.1051331	Down
2632		-1.1052409	Down
2700	TNS1	-1.1091571	Down
3211	METTL8	-1.1092492	Down
2253	ATP1B1	-1.1098511	Down
1892	GFPT1	-1.1099088	Down
2334	PRRC2B	-1.1107866	Down
1927	SOX30	-1.1111543	Down
903	DCC	-1.1112935	Down
1509	FAM120C	-1.1114461	Down
2588	TM4SF1	-1.1127434	Down
1734	HOXA7	-1.1128826	Down
2497		-1.1130151	Down
2743	TFCP2L1	-1.1133861	Down
1909	BCL2	-1.1134889	Down
1376	ZSCAN25	-1.1143874	Down
1821	DSC1	-1.1150474	Down
1129	ALDH7A1	-1.1153538	Down
646	EGFR	-1.1154262	Down
3155	HACD1	-1.1156612	Down
863	PTPRK	-1.1160175	Down
838		-1.1164608	Down
2511	CEP126	-1.1165354	Down
1461	ZNF594	-1.1171081	Down
1964	RBMS1	-1.1179563	Down
2725	PROX1	-1.1192843	Down
2454	ZNF544	-1.1197291	Down
2225	TPM1	-1.1197841	Down
1592	WIZ	-1.120127	Down
2896	CHDH	-1.1202995	Down
2962		-1.1207831	Down
1358	ARAP2	-1.1231738	Down
1544	IGF2BP2	-1.1243976	Down
2493	ARHGEF19	-1.1244156	Down
3500	SPTBN1	-1.1246731	Down
685	LOC91450	-1.1249103	Down
817	DNAH5	-1.1250211	Down
2354	SLC26A10	-1.1254878	Down
1616	PYROXD2	-1.1270814	Down
3036	COPS4	-1.1272235	Down
1399	FOXN3	-1.1275887	Down
724	LOC101929153	-1.1280158	Down
1790	MT1F	-1.1291193	Down
344	PHGDH	-1.1301044	Down
1462	MOGAT2	-1.1308669	Down
1150	ANKRD40	-1.1310122	Down
2770	SAMMSON	-1.1318133	Down
3094	ERICH1	-1.1326418	Down
398	SLCO4A1-AS1	-1.1330831	Down
578		-1.1337858	Down
2617	CT47A12///CT47A1///CT47A2///CT47A3///CT47A4///CT47A5///CT47A6///CT47A8///CT47A9///CT47A10///CT47A7///CT47A11	-1.1344099	Down
2160		-1.1351064	Down
2214		-1.1353486	Down
2972	DERA	-1.1382093	Down
1727	NOTCH2	-1.1385983	Down
2994	LITAF	-1.1386384	Down
2362	TVP23C-CDRT4///CDRT4///TVP23C	-1.1397715	Down
1609	NAT6	-1.1399093	Down
2544	LIPJ	-1.1405239	Down
1942	FCGBP	-1.1409367	Down
2356		-1.1410739	Down
2925		-1.1414129	Down
154	ZNF395	-1.1419586	Down
1749	CDK10	-1.1436022	Down
1783	LOC100996325	-1.1438128	Down
1832	GNB5	-1.144924	Down
938	RPH3AL	-1.1464179	Down
1476	JUN	-1.1465914	Down
2935	FLJ26850	-1.1466406	Down
2764		-1.1471642	Down
642	GRID1-AS1	-1.1474121	Down
2237	NOVA1	-1.1475635	Down
2634	SUB1	-1.1475776	Down
2348	CSRNP3	-1.1476732	Down
1938	DOCK5	-1.1481076	Down
1100	LOC145694	-1.1491181	Down
2510		-1.149684	Down
2105	LOC101928042///LOC101927579	-1.1498341	Down
714	ERICH1	-1.1501811	Down
3011		-1.150885	Down
881	PCYT1B	-1.1510593	Down
1466	FLII	-1.1510655	Down
2388	C1orf21	-1.1511197	Down
1555	LINC01330	-1.1520662	Down
3122	CENPBD1P1	-1.1526155	Down
3262	RAPGEF2	-1.1534313	Down
1761	BOC	-1.1534781	Down
1302	PBRM1	-1.1536815	Down
347	DTX3	-1.1544704	Down
305	EXOC7	-1.1551855	Down
2080	MIR2052HG	-1.155241	Down
588	ATP1A1-AS1	-1.1552993	Down
2837	NAA40	-1.1562544	Down
564	SMIM10L2B///SMIM10L2A	-1.1585283	Down
1348	MRPL49	-1.1587578	Down
3426	TMEM243	-1.1590613	Down
2814	CALY	-1.1593082	Down
1229	BIN1	-1.1594545	Down
744		-1.1598239	Down
2210	TP73	-1.1599717	Down
2532	LRRC37A7P	-1.1604623	Down
3504	DUSP16	-1.1606606	Down
716	FETUB	-1.1611295	Down
3404	TTC22	-1.163657	Down
2199		-1.1637478	Down
762	ZNF268	-1.1642118	Down
1526	FTHL17	-1.1642575	Down
1321	CLDN11	-1.1645884	Down
1770	LILRA5	-1.1649893	Down
1446	GNL1	-1.1653475	Down
1543		-1.1681968	Down
1085	MT1X	-1.1682665	Down
2347	ZNF71	-1.1683286	Down
3449		-1.1685426	Down
622	LOC100289090	-1.1688635	Down
1860	KRTDAP	-1.1688903	Down
3334	MTURN	-1.1689339	Down
2659	SPNS3	-1.1690045	Down
1299	MYL9	-1.1702926	Down
1904	IL15RA	-1.1715021	Down
1072	APLP2	-1.1722477	Down
321	DCUN1D3	-1.1729619	Down
1692		-1.1732576	Down
2741	LPP-AS2	-1.1741621	Down
2692		-1.1746675	Down
815	WDR1	-1.1751218	Down
374	RBPMS	-1.1752201	Down
984	APLP2	-1.1753544	Down
2205	IRX5	-1.1757527	Down
1806		-1.1758875	Down
2365	BEX2	-1.175922	Down
1848		-1.1776437	Down
2289	NES	-1.1778355	Down
2669	PLEKHA5	-1.1782232	Down
2980	NTRK3	-1.1782898	Down
1795		-1.1785155	Down
2081		-1.1791621	Down
1823	VWA5A	-1.1798963	Down
2999	ZNF395	-1.1803758	Down
586	CDAN1	-1.1806115	Down
3093	B3GALT5-AS1	-1.1807969	Down
1957	VWA8	-1.1812606	Down
535	INHBB	-1.1814952	Down
3175	LOC285692	-1.1822548	Down
146		-1.1838992	Down
1564	FAM107A	-1.1841113	Down
3322	MYOF	-1.1852305	Down
1514	HCG18	-1.1852448	Down
1463		-1.1854056	Down
690	VSNL1	-1.1857525	Down
2822	BCAP29	-1.1860764	Down
3453	YPEL2	-1.1865228	Down
323	SBNO1	-1.1866882	Down
1471	RRAS2	-1.186691	Down
2734	PLK2	-1.1872822	Down
2413	PEG3	-1.1881332	Down
1405	LOC101928076	-1.1891433	Down
1915		-1.1900821	Down
1617	CDCA7L	-1.190612	Down
2439	RTN2	-1.1909568	Down
2310	LYPD3	-1.1915791	Down
670	COPS7B	-1.1916044	Down
2184	LOC100287576///DGCR5	-1.1936276	Down
914	MYO9A	-1.1937309	Down
739	ERC1	-1.194097	Down
2122	ZNF611	-1.1942267	Down
2180	OBSL1	-1.1942299	Down
3503	CDHR3	-1.1947285	Down
2749	GLOD5	-1.1950492	Down
3253	PELO	-1.1950693	Down
2834		-1.1968697	Down
604	NCALD	-1.197708	Down
1341	MYF5	-1.1977372	Down
2312		-1.1979034	Down
991	MRPS25	-1.1986585	Down
2187	GPS1	-1.1988693	Down
573	LOC101928841	-1.1991309	Down
1452	SFXN2	-1.1996101	Down
2763	GYPB	-1.2002694	Down
1076		-1.2011715	Down
860	PSPN	-1.2015728	Down
1359	GRIA4	-1.2024646	Down
2668		-1.2026884	Down
3295		-1.2027415	Down
1212	LOC101927151	-1.2034232	Down
1372	MFGE8	-1.2040861	Down
2283		-1.2049213	Down
1392		-1.2051229	Down
2262	SHANK2	-1.2055278	Down
1475	HIPK2	-1.2058378	Down
2119	SIKE1	-1.2068551	Down
833	ACOX3	-1.2082835	Down
664	PIGM	-1.208756	Down
3505	PUM1	-1.2095005	Down
777	POMT1	-1.2098313	Down
687	HNRNPA3	-1.2117123	Down
1364	LOC100507201	-1.2123581	Down
1295		-1.2123917	Down
2018	C17orf105	-1.2125382	Down
3016	ZNF286B///ZNF286A	-1.2128288	Down
3267	PLXNB1	-1.2129443	Down
1360		-1.2139077	Down
2491		-1.2139381	Down
2754	MROH2A	-1.2145098	Down
998	EZH1	-1.215226	Down
2723	CPD	-1.2153255	Down
1683		-1.2158068	Down
3159	IRX4	-1.2160227	Down
2589	SLC25A27	-1.2163173	Down
1901	SLFN5	-1.2165748	Down
1575	FLII	-1.2167697	Down
2732		-1.2169917	Down
2101	SHH	-1.2188753	Down
2067	QSER1	-1.2190312	Down
2259	CP	-1.219344	Down
3386	ZNF431	-1.2198588	Down
3292	IGSF1	-1.2208144	Down
2234	KCNH1	-1.2218317	Down
1933	GNAS	-1.2222006	Down
260	DAB2IP	-1.2225351	Down
